source,target,similarity,source_country,target_country
Culture de France,Luxembourg Sports Ne,0.8012249264235545,FR,LU
Culture de France,Rugby Club Luxembour,0.7959510482540171,FR,LU
Culture de France,Choeur de Chambre de,0.7915057882187944,FR,LU
Culture de France,Chill mam Will,0.8176186770097618,FR,LU
Culture de France,Powerlifting & Weigh,0.853864738819932,FR,LU
Culture de France,CMCM Luxembourg,0.7740015277811922,FR,LU
Ina French Style,Távoktatás magyar ny,0.9029328190482022,FR,HU
Ina French Style,Luxemburger Landwirt,0.9171907997269673,FR,LU
Ina French Style,Fitness France,0.8037280299994136,FR,FR
Ina French Style,M•A•C Cosmetics Fran,0.8121810696429763,FR,FR
Ina French Style,Wasi Gaming,0.8528382729735856,FR,FR
Ina French Style,Monster High Magyaro,0.8412780469230017,FR,HU
Ina French Style,Rubicon Történelem,0.7919144543090917,FR,HU
Ina French Style,CHL Luxembourg,0.9032948422581832,FR,LU
France Culture,Notre Histoire,0.7933521086482102,FR,FR
France Culture,France tv sport,0.8481800917045069,FR,FR
France Culture,France Musique conce,0.7939343686541886,FR,FR
France Culture,Jaime French,0.9320704600088996,FR,FR
France Culture,Baloo Live,0.8599501364863864,FR,FR
Notre Histoire,France Musique conce,0.7625577687778539,FR,FR
Notre Histoire,SleepingBeauty,0.8030868404559854,FR,FR
Notre Histoire,Jaime French,0.8158105505857299,FR,FR
Notre Histoire,Baloo Live,0.8354961268638703,FR,FR
Csak egy magyar yout,Magyar Gamer Róka,0.8899213256169882,HU,HU
Csak egy magyar yout,CityNews Luxembourg,0.8089374467863529,HU,LU
Csak egy magyar yout,FHSE - University of,0.8008332848357881,HU,LU
Csak egy magyar yout,LuxUnplugged Podcast,0.8496941501215903,HU,LU
Csak egy magyar yout,Healthcare Week Luxe,0.8038870439477331,HU,LU
Magyar gamer,Travel Nature & Spor,0.7991036517565564,HU,LU
Magyar gamer,FlashGraphics Luxemb,0.7672654648319858,HU,LU
Magyar gamer,Meghna Luxembourg Vl,0.8758629472761439,HU,LU
Magyar gamer,Healthcareers Luxemb,0.8045279544646081,HU,LU
Magyar gamer,Magyar gamer,0.7885547664371997,HU,HU
